,title,company,job_type,location,link
0,[석사이상] 연구개발(신약개발 Bioinformatics/AI)의 전체 세부 정보,목암생명과학연구소,신입공채 +1,용인 기흥구,https://kr.indeed.com/rc/clk?jk=e055e7db19b944c6&fccid=414653bcb1dcfa31&vjs=3
1,신입(보건직) 직원 (장애인우대)의 전체 세부 정보,분당 서울대학교병원,신입공채,성남 분당구,https://kr.indeed.com/rc/clk?jk=3895d4423cea1ec7&fccid=671c8c753a19fc16&vjs=3
2,[동원산업] AI 매니저의 전체 세부 정보,동원그룹,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=64392d2d7d83a795&fccid=1307044e77e80b03&vjs=3
3,[TmaxAI] NLP/음성/Vision AI모델 연구원(*전문연구요원 병역특례포함)의 전체 세부 정보,티맥스그룹,신입공채 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=845a8e4e0a0695fb&fccid=7fd4ab5b8a5f28f4&vjs=3
4,BigData 인프라 엔지니어의 전체 세부 정보,에스케이텔레콤,정규직,서울 중구,https://kr.indeed.com/rc/clk?jk=1ef14c8708ecf599&fccid=ce2f0f28b40a5be8&vjs=3
5,[NICE디앤비] 2023년 1분기 수시의 전체 세부 정보,나이스디앤비,신입공채 +1,서울 마포구,https://kr.indeed.com/rc/clk?jk=8d2c461bceb0b134&fccid=17d1a050403f5d30&vjs=3
6,[인턴십] Papago 이미지 번역의 전체 세부 정보,네이버클라우드,신입공채,성남 분당구,https://kr.indeed.com/rc/clk?jk=2a8b319168008fd9&fccid=54815931228b42c0&vjs=3
7,딥러닝 AI 개발 연구원의 전체 세부 정보,베이리스,신입공채 +1,성남 수정구,https://kr.indeed.com/rc/clk?jk=87309d3ff40ead61&fccid=ce871e9e4a9f430a&vjs=3
8,[단기계약직] 금융 AI 서비스를 위한 UX 리서치 어시스턴트 모집의 전체 세부 정보,엔씨소프트,,성남 판교역,https://kr.indeed.com/rc/clk?jk=f8c7e108c2bdf5a3&fccid=a1e4e21b1f33cf40&vjs=3
9,2023년도 제1차 신규직원 (2023.03.02~2023.03.17)의 전체 세부 정보,한국에너지기술연구원,신입공채,대전,https://kr.indeed.com/rc/clk?jk=c6d8da33a88c469c&fccid=6ccbd1d8de75a4db&vjs=3
