,title,company,job_type,location,link
0,[KREAM] Product QA 담당자의 전체 세부 정보,크림,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=239c03b031caad8e&fccid=146c028635667214&vjs=3
1,[상시 ] Software Engineering Intern ( 연계형 인턴)의 전체 세부 정보,야놀자,신입공채 +1,서울 강남구,https://kr.indeed.com/rc/clk?jk=5c59378ed4070687&fccid=73fe623ec23ed0a5&vjs=3
2,KB자산운용 다이렉트인덱싱부문 (~3/19)의 전체 세부 정보,KB자산운용,정규직,서울 영등포구,https://kr.indeed.com/rc/clk?jk=b9702d74304a3c22&fccid=846186c5b49d7bef&vjs=3
3,재무 담당자의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=7407b77f6fb6791e&fccid=ba14407ca9412d5e&vjs=3
4,인테리어 사업부 리드의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=f5ee7cbc4fb44341&fccid=ba14407ca9412d5e&vjs=3
5,Endpoint 보안 솔루션 운영 담당자의 전체 세부 정보,Dunamu,,서울,https://kr.indeed.com/rc/clk?jk=929c4072935fd584&fccid=54c9c086b03b7cdc&vjs=3
6,인사 운영 매니저의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=fe126570f9ea186d&fccid=ba14407ca9412d5e&vjs=3
7,[ IT개발 ] 백엔드(C#)개발자 ( 신입/경력 )의 전체 세부 정보,엘로이큐브,신입공채 +1,서울 서초구,https://kr.indeed.com/rc/clk?jk=2b7810de02e970ba&fccid=e44f683d83eb9c3b&vjs=3
8,데이터 플랫폼 엔지니어 (Data Platform Engineer)의 전체 세부 정보,두나무,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=e83993169f774912&fccid=6723a9d496e46445&vjs=3
9,[위메프서비스] 서비스 백엔드 주니어 개발자의 전체 세부 정보,위메프,,대한민국,https://kr.indeed.com/rc/clk?jk=4bbe98923e49db2e&fccid=2f8799a5ef214646&vjs=3
10,데이터 사이언티스트의 전체 세부 정보,Dunamu,,서울,https://kr.indeed.com/rc/clk?jk=2cb8eb6d26db7d15&fccid=54c9c086b03b7cdc&vjs=3
11,백엔드 엔지니어의 전체 세부 정보,에이블리코퍼레이션,,서울,https://kr.indeed.com/rc/clk?jk=8ee64063e0a30d75&fccid=e98e3bb42308e608&vjs=3
12,AI(딥러닝) 개발자의 전체 세부 정보,어밸브,정규직,서울 서초구,https://kr.indeed.com/company/%EC%96%B4%EB%B0%B8%EB%B8%8C/jobs/Ai-%EA%B0%9C%EB%B0%9C%EC%9E%90-bb5ac3a7b7e28988?fccid=90e59c5d7146f2da&vjs=3
13,상시지원 (AI & ML Engineer)의 전체 세부 정보,Riiid Labs,,서울,https://kr.indeed.com/rc/clk?jk=14a95a5daad2295e&fccid=933989f3b0ffe928&vjs=3
14,사업부 인턴 (6개월)의 전체 세부 정보,세컨신드롬,신입공채 +2,서울 강남구,https://kr.indeed.com/rc/clk?jk=11d5818ed859210a&fccid=ba14407ca9412d5e&vjs=3
15,안드로이드 개발자의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=2e98c1f23bbc4de3&fccid=ba14407ca9412d5e&vjs=3
16,TOAST CAM 서버 개발의 전체 세부 정보,NHN,,성남 판교역,https://kr.indeed.com/rc/clk?jk=3a726691348f62ca&fccid=cc378bd7bc831eca&vjs=3
17,ML Research Engineer의 전체 세부 정보,두나무,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=32895cc1781c4acf&fccid=6723a9d496e46445&vjs=3
18,하드웨어 담당자의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=b4b2efee9ea73933&fccid=ba14407ca9412d5e&vjs=3
