,title,company,job_type,location,link
0,서버 개발자 - 기반기술 (대규모 )의 전체 세부 정보,한국카카오은행,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=c0ad6885b241b9eb&fccid=aea6a13a3459fdb2&vjs=3
1,[신입/경력] 인프라 엔지니어의 전체 세부 정보,구름,정규직 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=7ad0475e5038f982&fccid=93116efd0859e0ce&vjs=3
2,Machine Learning Engineer Intern - Korea의 전체 세부 정보,MOLOCO,인턴,서울,https://kr.indeed.com/rc/clk?jk=69d3cc2cca262747&fccid=6588d205440cdcb9&vjs=3
3,서버 개발자 - 기반기술 (대규모 채용)의 전체 세부 정보,카카오뱅크,정규직,성남 백현동,https://kr.indeed.com/rc/clk?jk=5ec6b671af3de641&fccid=a8ac43179956a6aa&vjs=3
4,DBA (Database Administration) - 당근페이의 전체 세부 정보,당근마켓,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=e9f75bf05fb1d594&fccid=b819352f54034fcd&vjs=3
5,Software Engineer Intern - Korea의 전체 세부 정보,MOLOCO,인턴,서울 강남구,https://kr.indeed.com/rc/clk?jk=c2f271fbd2fa95e7&fccid=6588d205440cdcb9&vjs=3
6,[병역특례 포함] SW 솔루션 개발자 - Golang 개발자의 전체 세부 정보,제론소프트엔,정규직 +1,서울 중구,https://kr.indeed.com/rc/clk?jk=6f6d3b18444d18f5&fccid=00d961adec130546&vjs=3
7,AI 연구 MLOps의 전체 세부 정보,코그넷나인,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=36ae5f764253d121&fccid=015d2bad6d9df969&vjs=3
8,Web Front-end 개발자의 전체 세부 정보,코그넷나인,정규직 +1,서울 서초구,https://kr.indeed.com/rc/clk?jk=6141229c69b83068&fccid=015d2bad6d9df969&vjs=3
9,AI 인공지능 서비스 플랫폼 개발자의 전체 세부 정보,코그넷나인,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=d4fedbedf819ba56&fccid=015d2bad6d9df969&vjs=3
10,Machine Learning Engineer - Korea의 전체 세부 정보,MOLOCO,,서울,https://kr.indeed.com/rc/clk?jk=99b17cdf7773a816&fccid=6588d205440cdcb9&vjs=3
11,백엔드 서버 개발자(AWS)의 전체 세부 정보,피타소프트,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=65a48a96b70f8ce1&fccid=b03279666a51b6a2&vjs=3
12,[병역특례 포함] SW 솔루션 클라이언트 개발자 (Golang)의 전체 세부 정보,제론소프트엔,정규직,서울 중구,https://kr.indeed.com/rc/clk?jk=85f26cad07c51436&fccid=00d961adec130546&vjs=3
13,[NFT Metaverse Dept.] Server Programmer (3년 ~ 10년)의 전체 세부 정보,크래프톤,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=4c665c062200a822&fccid=0aeb279b74dee723&vjs=3
14,플랫폼연구소(경력) : 백엔드 서버개발자 AWS의 전체 세부 정보,피타소프트,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=adefad8c5f7f6450&fccid=b03279666a51b6a2&vjs=3
15,[BATTLEGROUNDS] Anti-Cheat 플랫폼 엔지니어 (2년 이상)의 전체 세부 정보,크래프톤,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=5e82453d533aa726&fccid=0aeb279b74dee723&vjs=3
16,실리콘밸리 벤처 실내 공기 측정기 개발사 백엔드개발의 전체 세부 정보,경연파트너스,정규직,서울 중구,https://kr.indeed.com/rc/clk?jk=766cdc94a296262f&fccid=0f76eb1d9acd6c10&vjs=3
17,서버 엔지니어 - Location Core의 전체 세부 정보,당근마켓,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=6826bf4e00984447&fccid=b819352f54034fcd&vjs=3
18,Backend 개발 경력사원 모집의 전체 세부 정보,아이센스,정규직,서울 서초동,https://kr.indeed.com/rc/clk?jk=b3cd78645e2a9e1a&fccid=2cacd2a83b40ea2a&vjs=3
19,Software Engineer - Korea의 전체 세부 정보,MOLOCO,,서울 강남구,https://kr.indeed.com/rc/clk?jk=e2461a0de4efb67f&fccid=6588d205440cdcb9&vjs=3
20,DevOps Engineer의 전체 세부 정보,Dunamu,,서울,https://kr.indeed.com/rc/clk?jk=83e1583e00db2175&fccid=54c9c086b03b7cdc&vjs=3
21,Blockchain DevOps Engineer의 전체 세부 정보,Crypto.com,정규직,서울,https://kr.indeed.com/rc/clk?jk=d9f1d0ad0df0fe63&fccid=18bfd14af40ab66a&vjs=3
22,Determined AI - Developer Support Engineer의 전체 세부 정보,Hewlett Packard Enterprise,정규직,서울,https://kr.indeed.com/rc/clk?jk=0c485b37ca64fe88&fccid=216eb700022de6f6&vjs=3
23,DAP솔루션 Back-end 개발자의 전체 세부 정보,코그넷나인,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=d1b83535e6707eea&fccid=015d2bad6d9df969&vjs=3
24,(주)다나와 기업부설연구소 (검색/웹개발/시스템관리)의 전체 세부 정보,커넥트웨이브,정규직 +1,서울 양천구,https://kr.indeed.com/rc/clk?jk=69874e92ea24ea42&fccid=318010df9248eabf&vjs=3
25,[전문연구요원 신규편입 & 전직] Software Engineer의 전체 세부 정보,Upstage,정규직,경기도 용인,https://kr.indeed.com/rc/clk?jk=2615573761265171&fccid=d407e3ac97a68326&vjs=3
26,System Developer 사내 시스템 개발의 전체 세부 정보,기업명,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=dd0d6d36ddcc6e21&fccid=a6a2cb60b8f19368&vjs=3
27,Machine Learning Engineer(산업기능요원) - Korea의 전체 세부 정보,MOLOCO,,서울,https://kr.indeed.com/rc/clk?jk=d2f1f17159b3304e&fccid=6588d205440cdcb9&vjs=3
28,Software Engineer - App Stores Backend (Remote)의 전체 세부 정보,Canonical - Jobs,,서울,https://kr.indeed.com/rc/clk?jk=6af9ca6fbb4942a3&fccid=3911cf63fc0692f4&vjs=3
29,Senior Software Engineer - Korea의 전체 세부 정보,MOLOCO,,서울,https://kr.indeed.com/rc/clk?jk=0d28c332adf66551&fccid=6588d205440cdcb9&vjs=3
