,title,company,job_type,location,link
0,라인프렌즈[IPX] 2022년 각 부문 수시의 전체 세부 정보,IPX,신입공채 +1,서울 용산구,https://kr.indeed.com/rc/clk?jk=1015284880e2ff62&fccid=e6548a8408f0612b&vjs=3
1,비즈니스 데이터 분석가 (Business Data Analyst) 영입의 전체 세부 정보,카카오페이,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=8b82670b52cf5e98&fccid=c3aa6121be03065c&vjs=3
2,딥러닝 영상 인식 Researcher의 전체 세부 정보,앤씨앤,신입공채 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=a6c15fbd57a9747d&fccid=e0ebb3045283ebe8&vjs=3
3,[인턴십] Papago 이미지 번역의 전체 세부 정보,네이버클라우드,신입공채,성남 분당구,https://kr.indeed.com/rc/clk?jk=2a8b319168008fd9&fccid=54815931228b42c0&vjs=3
4,서버 엔지니어 (Python)의 전체 세부 정보,페이히어,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=5ccb95e3fe5f6994&fccid=254f50a1adb01cad&vjs=3
5,2023년 DIgital Lab 전문계약직 상시의 전체 세부 정보,GS칼텍스,계약직,서울 강남구,https://kr.indeed.com/rc/clk?jk=2e45e43017a6ea1f&fccid=f152288f3dcf6e51&vjs=3
6,[병역 특례 가능] 백엔드 엔지니어(Python)의 전체 세부 정보,피플펀드컴퍼니,,서울 서초구,https://kr.indeed.com/rc/clk?jk=3cbd2f42de625fab&fccid=10d9fdf90a5a21a4&vjs=3
7,Data Scientist의 전체 세부 정보,Toss,,서울,https://kr.indeed.com/rc/clk?jk=9cb8324539546a71&fccid=18c4935c8ec646d5&vjs=3
8,"[양재역] 데이터분석(석박사급,R,Python,Matlab)의 전체 세부 정보",시니어앤파트너즈,신입공채 +1,서울 서초구,https://kr.indeed.com/rc/clk?jk=ce71e040d5a36470&fccid=59060ddcdf96b101&vjs=3
9,인공지능 기초부터 프로젝트 실습까지:Python과 Weka활용(취업연계)의 전체 세부 정보,재단법인 한국에이아이블록체인융합원,신입공채 +1,경상남도,https://kr.indeed.com/rc/clk?jk=0eff71fabf6c4b1f&fccid=f05769bef089cf29&vjs=3
10,DT그룹 인턴사원의 전체 세부 정보,에스케이스페셜티,신입공채,서울,https://kr.indeed.com/rc/clk?jk=5bb88b636c0aeea6&fccid=056b41d707659c93&vjs=3
11,클라우드 SRE (대규모 )의 전체 세부 정보,한국카카오은행,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=bb36f16d6647d2cd&fccid=aea6a13a3459fdb2&vjs=3
12,"2023 Software Engineering Intern, People with Disabilities (장애인 채용)의 전체 세부 정보",Google,인턴,서울,https://kr.indeed.com/rc/clk?jk=ed7b7e6eb72ffab8&fccid=a5b4499d9e91a5c6&vjs=3
13,[ICT] Data Scientist - 자연어처리[매니저]의 전체 세부 정보,현대자동차그룹,정규직,대한민국,https://kr.indeed.com/rc/clk?jk=cf99a4662ad1c936&fccid=980d6ecc399a3373&vjs=3
14,데이터플랫폼팀 데이터분석가(Data Analyst)의 전체 세부 정보,컬리,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=c2d07f35f70c865a&fccid=84f556ede0522ba3&vjs=3
15,[메이저 금융그룹 연구소] Data Scientist 경력직 연구원 포지션의 전체 세부 정보,메이저 금융그룹 연구소,정규직,서울,https://kr.indeed.com/company/%EB%8D%94-%ED%9C%B4%EB%A8%BC/jobs/Data-Scientist-%EA%B2%BD%EB%A0%A5%EC%A7%81-%EC%97%B0%EA%B5%AC%EC%9B%90-%ED%8F%AC%EC%A7%80%EC%85%98-f8a5bc05f47465f8?fccid=3cfe13845f73c09f&vjs=3
